image,confidence,x0,y0,x1,y1,tile
01_2015-12-14_182048_DSC_1023.thumb.jpg,0.99997,1600.0,800.0,1800.0,1000.0,48.0
01_2015-12-14_182048_DSC_1023.thumb.jpg,1.0,1640.0,800.0,1840.0,1000.0,49.0
01_2015-12-14_164323_DSC_0782.thumb.jpg,0.99251,1000.0,1000.0,1200.0,1200.0,55.0
01_2015-12-14_164323_DSC_0782.thumb.jpg,0.99993,1000.0,1028.0,1200.0,1228.0,65.0
01_2015-12-14_192614_DSC_1191.thumb.jpg,0.99903,800.0,600.0,1000.0,800.0,34.0
01_2015-12-14_165021_DSC_0800.thumb.jpg,0.90636,800.0,1000.0,1000.0,1200.0,54.0
01_2015-12-14_165021_DSC_0800.thumb.jpg,0.68886,800.0,1028.0,1000.0,1228.0,64.0
01_2015-12-14_120659_DSC_0086.thumb.jpg,0.57189,1000.0,0.0,1200.0,200.0,5.0
01_2015-12-14_121257_DSC_0101.thumb.jpg,0.99263,800.0,1000.0,1000.0,1200.0,54.0
01_2015-12-14_121257_DSC_0101.thumb.jpg,0.99988,800.0,1028.0,1000.0,1228.0,64.0
01_2015-12-14_124617_DSC_0187.thumb.jpg,0.9995,1400.0,0.0,1600.0,200.0,7.0
01_2015-12-14_185326_DSC_1107.thumb.jpg,0.57486,1000.0,400.0,1200.0,600.0,25.0
01_2015-12-14_192425_DSC_1186.thumb.jpg,0.99998,1400.0,200.0,1600.0,400.0,17.0
01_2015-12-14_124721_DSC_0189.thumb.jpg,0.99457,1200.0,0.0,1400.0,200.0,6.0
01_2015-12-14_130302_DSC_0229.thumb.jpg,0.99979,1600.0,800.0,1800.0,1000.0,48.0
01_2015-12-14_130302_DSC_0229.thumb.jpg,0.99992,1640.0,800.0,1840.0,1000.0,49.0
01_2015-12-14_190421_DSC_1135.thumb.jpg,0.99554,1400.0,800.0,1600.0,1000.0,47.0
01_2015-12-14_123141_DSC_0149.thumb.jpg,0.99999,600.0,400.0,800.0,600.0,23.0
01_2015-12-14_123141_DSC_0149.thumb.jpg,0.99984,800.0,400.0,1000.0,600.0,24.0
01_2015-12-14_115808_DSC_0064.thumb.jpg,0.9998,1200.0,1000.0,1400.0,1200.0,56.0
01_2015-12-14_115808_DSC_0064.thumb.jpg,0.99871,1200.0,1028.0,1400.0,1228.0,66.0
01_2015-12-14_200822_DSC_1298.thumb.jpg,0.99998,600.0,400.0,800.0,600.0,23.0
01_2015-12-14_165738_DSC_0817.thumb.jpg,0.99999,800.0,400.0,1000.0,600.0,24.0
01_2015-12-14_165738_DSC_0817.thumb.jpg,0.99999,1000.0,400.0,1200.0,600.0,25.0
01_2015-12-14_165738_DSC_0817.thumb.jpg,0.99991,600.0,600.0,800.0,800.0,33.0
01_2015-12-14_165738_DSC_0817.thumb.jpg,0.99927,800.0,600.0,1000.0,800.0,34.0
01_2015-12-14_174205_DSC_0927.thumb.jpg,0.99526,1640.0,400.0,1840.0,600.0,29.0
01_2015-12-14_192454_DSC_1188.thumb.jpg,0.99999,1200.0,400.0,1400.0,600.0,26.0
01_2015-12-14_195910_DSC_1275.thumb.jpg,0.99998,1000.0,600.0,1200.0,800.0,35.0
01_2015-12-14_195839_DSC_1273.thumb.jpg,1.0,800.0,400.0,1000.0,600.0,24.0
01_2015-12-14_171932_DSC_0872.thumb.jpg,0.98295,600.0,600.0,800.0,800.0,33.0
01_2015-12-14_171932_DSC_0872.thumb.jpg,0.99991,800.0,600.0,1000.0,800.0,34.0
01_2015-12-14_131110_DSC_0250.thumb.jpg,0.78645,600.0,800.0,800.0,1000.0,43.0
01_2015-12-14_124751_DSC_0191.thumb.jpg,0.99906,1000.0,0.0,1200.0,200.0,5.0
01_2015-12-14_153839_DSC_0621.thumb.jpg,0.99999,200.0,400.0,400.0,600.0,21.0
01_2015-12-14_153839_DSC_0621.thumb.jpg,1.0,400.0,400.0,600.0,600.0,22.0
01_2015-12-14_153839_DSC_0621.thumb.jpg,0.99999,600.0,400.0,800.0,600.0,23.0
01_2015-12-14_153839_DSC_0621.thumb.jpg,1.0,0.0,600.0,200.0,800.0,30.0
01_2015-12-14_153839_DSC_0621.thumb.jpg,0.99998,200.0,600.0,400.0,800.0,31.0
01_2015-12-14_200631_DSC_1293.thumb.jpg,0.61515,1000.0,400.0,1200.0,600.0,25.0
01_2015-12-14_190436_DSC_1136.thumb.jpg,0.9989,1400.0,800.0,1600.0,1000.0,47.0
01_2015-12-14_190436_DSC_1136.thumb.jpg,0.99025,0.0,1000.0,200.0,1200.0,50.0
01_2015-12-14_120643_DSC_0085.thumb.jpg,0.7184,1000.0,0.0,1200.0,200.0,5.0
01_2015-12-14_121020_DSC_0095.thumb.jpg,1.0,1400.0,1000.0,1600.0,1200.0,57.0
01_2015-12-14_121020_DSC_0095.thumb.jpg,0.99999,1400.0,1028.0,1600.0,1228.0,67.0
01_2015-12-14_163042_DSC_0751.thumb.jpg,1.0,200.0,400.0,400.0,600.0,21.0
01_2015-12-14_163042_DSC_0751.thumb.jpg,0.99994,400.0,400.0,600.0,600.0,22.0
01_2015-12-14_195855_DSC_1274.thumb.jpg,0.99318,800.0,600.0,1000.0,800.0,34.0
01_2015-12-14_195855_DSC_1274.thumb.jpg,0.99998,1000.0,600.0,1200.0,800.0,35.0
01_2015-12-14_190247_DSC_1131.thumb.jpg,0.96313,400.0,1000.0,600.0,1200.0,52.0
01_2015-12-14_190247_DSC_1131.thumb.jpg,0.93155,400.0,1028.0,600.0,1228.0,62.0
01_2015-12-14_121209_DSC_0100.thumb.jpg,0.67355,1200.0,200.0,1400.0,400.0,16.0
01_2015-12-14_124736_DSC_0190.thumb.jpg,0.9999,1000.0,0.0,1200.0,200.0,5.0
01_2015-12-14_124736_DSC_0190.thumb.jpg,0.9669,1000.0,400.0,1200.0,600.0,25.0
01_2015-12-14_185806_DSC_1119.thumb.jpg,0.9985,600.0,400.0,800.0,600.0,23.0
01_2015-12-14_185925_DSC_1122.thumb.jpg,0.97169,0.0,400.0,200.0,600.0,20.0
01_2015-12-14_124443_DSC_0183.thumb.jpg,0.98301,600.0,600.0,800.0,800.0,33.0
01_2015-12-14_192409_DSC_1185.thumb.jpg,0.99999,1600.0,200.0,1800.0,400.0,18.0
01_2015-12-14_192409_DSC_1185.thumb.jpg,0.9999,1640.0,200.0,1840.0,400.0,19.0
01_2015-12-14_200014_DSC_1277.thumb.jpg,0.99998,1400.0,800.0,1600.0,1000.0,47.0
01_2015-12-14_192559_DSC_1190.thumb.jpg,0.67335,800.0,600.0,1000.0,800.0,34.0
01_2015-12-14_200030_DSC_1278.thumb.jpg,0.99999,1600.0,800.0,1800.0,1000.0,48.0
01_2015-12-14_200030_DSC_1278.thumb.jpg,0.864,1640.0,800.0,1840.0,1000.0,49.0
01_2015-12-14_124806_DSC_0192.thumb.jpg,0.78203,1000.0,0.0,1200.0,200.0,5.0
01_2015-12-14_124806_DSC_0192.thumb.jpg,1.0,1200.0,400.0,1400.0,600.0,26.0
01_2015-12-14_192543_DSC_1189.thumb.jpg,0.99999,1000.0,400.0,1200.0,600.0,25.0
01_2015-12-14_124547_DSC_0185.thumb.jpg,0.90632,1400.0,0.0,1600.0,200.0,7.0
01_2015-12-14_200045_DSC_1279.thumb.jpg,0.99764,1600.0,1000.0,1800.0,1200.0,58.0
01_2015-12-14_200045_DSC_1279.thumb.jpg,0.99943,1640.0,1000.0,1840.0,1200.0,59.0
01_2015-12-14_120950_DSC_0093.thumb.jpg,0.99997,1000.0,800.0,1200.0,1000.0,45.0
01_2015-12-14_120728_DSC_0088.thumb.jpg,0.99944,1400.0,0.0,1600.0,200.0,7.0
01_2015-12-14_194123_DSC_1229.thumb.jpg,0.94271,1200.0,1028.0,1400.0,1228.0,66.0
01_2015-12-14_124602_DSC_0186.thumb.jpg,0.99691,1400.0,0.0,1600.0,200.0,7.0
01_2015-12-14_121035_DSC_0096.thumb.jpg,1.0,1600.0,1000.0,1800.0,1200.0,58.0
01_2015-12-14_121035_DSC_0096.thumb.jpg,1.0,1640.0,1000.0,1840.0,1200.0,59.0
01_2015-12-14_121035_DSC_0096.thumb.jpg,1.0,1600.0,1028.0,1800.0,1228.0,68.0
01_2015-12-14_121035_DSC_0096.thumb.jpg,1.0,1640.0,1028.0,1840.0,1228.0,69.0
01_2015-12-14_200806_DSC_1297.thumb.jpg,0.99997,600.0,600.0,800.0,800.0,33.0
01_2015-12-14_190540_DSC_1138.thumb.jpg,0.97367,1600.0,400.0,1800.0,600.0,28.0
01_2015-12-14_190540_DSC_1138.thumb.jpg,0.9976,1640.0,400.0,1840.0,600.0,29.0
01_2015-12-14_190232_DSC_1130.thumb.jpg,0.65776,1400.0,800.0,1600.0,1000.0,47.0
01_2015-12-14_190232_DSC_1130.thumb.jpg,0.6637,400.0,1028.0,600.0,1228.0,62.0
01_2015-12-14_185910_DSC_1121.thumb.jpg,0.87089,200.0,400.0,400.0,600.0,21.0
01_2015-12-14_120714_DSC_0087.thumb.jpg,0.99632,1200.0,0.0,1400.0,200.0,6.0
01_2015-12-14_124632_DSC_0188.thumb.jpg,0.99874,1400.0,0.0,1600.0,200.0,7.0
01_2015-12-14_192440_DSC_1187.thumb.jpg,0.99331,1400.0,200.0,1600.0,400.0,17.0
01_2015-12-14_190524_DSC_1137.thumb.jpg,0.78123,1400.0,400.0,1600.0,600.0,27.0
01_2015-12-14_190524_DSC_1137.thumb.jpg,0.9917,1600.0,600.0,1800.0,800.0,38.0
